selected	speaker	design	line_key	take	text	duration_seconds	file
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_job_01	1	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	10.88	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_job_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_job_01	2	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	10.08	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_job_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_job_01	3	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	11.6	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_job_01\take-03.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_why_me_01	1	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.4	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_why_me_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_why_me_01	2	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	7.92	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_why_me_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_why_me_01	3	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.48	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_why_me_01\take-03.wav
	Cinder	cinder-c-field-tech	__voice_design_reference__	reference	"A clean shutdown is a luxury. First we trace every dependency, then we decide what can break without taking somebody with it."	9.12	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\reference.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_intro_01	1	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.44	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_intro_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_intro_01	2	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.2	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_intro_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_intro_01	3	Patch says you can remove a machine without turning the whole block into a fireworks display.	9.12	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_intro_01\take-03.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_accept_01	1	"If it's what I say. Evidence first, conviction second."	6.32	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_accept_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_accept_01	2	"If it's what I say. Evidence first, conviction second."	5.36	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_accept_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_accept_01	3	"If it's what I say. Evidence first, conviction second."	4.56	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_accept_01\take-03.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_common_ground_01	1	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	10.56	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_common_ground_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_common_ground_01	2	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	11.92	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_common_ground_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_common_ground_01	3	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	12.72	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_common_ground_01\take-03.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_hate_tech_01	1	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.72	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_hate_tech_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_hate_tech_01	2	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	9.44	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_hate_tech_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_hate_tech_01	3	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.96	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_hate_tech_01\take-03.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_job_01	1	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	12.08	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_job_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_job_01	2	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	10.16	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_job_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_job_01	3	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	10.56	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_job_01\take-03.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_why_me_01	1	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.4	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_why_me_01\take-01.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_why_me_01	2	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.88	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_why_me_01\take-02.wav
	Cinder	cinder-c-field-tech	gq002_01_cinder_rsp_why_me_01	3	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.56	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-c-field-tech\gq002_01_cinder_rsp_why_me_01\take-03.wav
	V	v-original-embed	gq002_01_v_choice_accept_line	1	"I'll inspect the relay. If it's what you say, it's gone."	3.52	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_accept_line\take-01.wav
x	V	v-original-embed	gq002_01_v_choice_accept_line	2	"I'll inspect the relay. If it's what you say, it's gone."	4.4	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_accept_line\take-02.wav
	V	v-original-embed	gq002_01_v_choice_accept_line	3	"I'll inspect the relay. If it's what you say, it's gone."	4.56	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_accept_line\take-03.wav
	V	v-original-embed	gq002_01_v_choice_common_ground_line	1	"Common Ground. Activists, gang, support group?"	4.48	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_common_ground_line\take-01.wav
	V	v-original-embed	gq002_01_v_choice_common_ground_line	2	"Common Ground. Activists, gang, support group?"	6.08	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_common_ground_line\take-02.wav
x	V	v-original-embed	gq002_01_v_choice_common_ground_line	3	"Common Ground. Activists, gang, support group?"	4.88	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_common_ground_line\take-03.wav
x	V	v-original-embed	gq002_01_v_choice_hate_tech_line	1	"So what, you want everyone back to candles and hand-cranks?"	4.16	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_hate_tech_line\take-01.wav
	V	v-original-embed	gq002_01_v_choice_hate_tech_line	2	"So what, you want everyone back to candles and hand-cranks?"	3.92	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_hate_tech_line\take-02.wav
	V	v-original-embed	gq002_01_v_choice_hate_tech_line	3	"So what, you want everyone back to candles and hand-cranks?"	4.24	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_hate_tech_line\take-03.wav
x	V	v-original-embed	gq002_01_v_choice_job_line	1	Show me the machine.	2	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_job_line\take-01.wav
	V	v-original-embed	gq002_01_v_choice_job_line	2	Show me the machine.	1.76	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_job_line\take-02.wav
	V	v-original-embed	gq002_01_v_choice_job_line	3	Show me the machine.	1.76	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_job_line\take-03.wav
	V	v-original-embed	gq002_01_v_choice_why_me_line	1	Your people fix machines. Why hire me to break one?	4.96	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_why_me_line\take-01.wav
x	V	v-original-embed	gq002_01_v_choice_why_me_line	2	Your people fix machines. Why hire me to break one?	3.52	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_why_me_line\take-02.wav
	V	v-original-embed	gq002_01_v_choice_why_me_line	3	Your people fix machines. Why hire me to break one?	3.76	H:\projects\Ghostline\generated\gq002-voice-auditions\v-original-embed\gq002_01_v_choice_why_me_line\take-03.wav
